# tracer: nop
#
# entries-in-buffer/entries-written: 5325/5325   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
       UnityMain-6063  [006] d..4  1257.556018: __free_cluster: [REMOTE __free_cluster] free cluster 1882
 send_target_man-200   [003] ...1  1270.557785: send_zram_to_nbd: target sent id 4: 6534 7ea628f000 832c9
 send_target_man-200   [003] ...1  1270.559614: send_zram_to_nbd: target sent id 4: 6534 7e9fce4000 832ca
 send_target_man-200   [003] ...1  1270.561858: send_zram_to_nbd: target sent id 4: 6534 7e9fce5000 832cb
 send_target_man-200   [003] ...1  1270.563802: send_zram_to_nbd: target sent id 4: 6534 7e9c53e000 832cc
 send_target_man-200   [003] ...1  1270.565649: send_zram_to_nbd: target sent id 4: 6534 7e87c34000 832cd
 send_target_man-200   [003] ...1  1270.567649: send_zram_to_nbd: target sent id 4: 6534 7eba0e2000 832ce
 send_target_man-200   [003] ...1  1270.569580: send_zram_to_nbd: target sent id 4: 6534 7f28b53000 832cf
 send_target_man-200   [003] ...1  1270.572066: send_zram_to_nbd: target sent id 4: 6534 7e9c8b7000 832d0
 send_target_man-200   [000] ...1  1270.574369: send_zram_to_nbd: target sent id 4: 6534 7eb001c000 832d1
 send_target_man-200   [000] ...1  1270.576276: send_zram_to_nbd: target sent id 4: 6534 7e9c3ab000 832d2
 send_target_man-200   [001] ...1  1270.578058: send_zram_to_nbd: target sent id 4: 6534 7e9c3ac000 832d3
 send_target_man-200   [001] ...1  1270.580084: send_zram_to_nbd: target sent id 4: 6534 7e9c3ad000 832d4
 send_target_man-200   [001] ...1  1270.582250: send_zram_to_nbd: target sent id 4: 6534 7fbdc87000 832d5
 send_target_man-200   [001] ...1  1270.584820: send_zram_to_nbd: target sent id 4: 6534 7e9c3b4000 832d6
 send_target_man-200   [001] ...1  1270.587225: send_zram_to_nbd: target sent id 4: 6534 7fbe1d8000 832d7
 send_target_man-200   [001] ...1  1270.588995: send_zram_to_nbd: target sent id 4: 6534 7e9fbf3000 832d8
 send_target_man-200   [001] ...1  1270.590677: send_zram_to_nbd: target sent id 4: 6534 7f398c4000 832d9
 send_target_man-200   [001] ...1  1270.592388: send_zram_to_nbd: target sent id 4: 6534 7e9c8d6000 832da
 send_target_man-200   [001] ...1  1270.595096: send_zram_to_nbd: target sent id 4: 6534 7e9c8d7000 832db
 send_target_man-200   [001] ...1  1270.597555: send_zram_to_nbd: target sent id 4: 6534 7ea57ee000 832dc
