# tracer: nop
#
# entries-in-buffer/entries-written: 11966/11966   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
       UnityMain-6014  [006] d..4  1677.122764: __free_cluster: [REMOTE __free_cluster] free cluster 1774
 send_target_man-200   [002] ...1  1688.165206: send_zram_to_nbd: target sent: 6467 7e9b775000 612842
 send_target_man-200   [001] ...1  1688.167181: send_zram_to_nbd: target sent: 6467 7e9b70b000 612843
 send_target_man-200   [001] .n.1  1688.171763: send_zram_to_nbd: target sent: 6467 7eaba9a000 612844
 send_target_man-200   [001] ...1  1688.174262: send_zram_to_nbd: target sent: 6467 7e9bab4000 612845
 send_target_man-200   [001] ...1  1688.176143: send_zram_to_nbd: target sent: 6467 7e9b55b000 612846
 send_target_man-200   [001] ...1  1688.178171: send_zram_to_nbd: target sent: 6467 7ea156e000 612847
 send_target_man-200   [003] ...1  1688.180414: send_zram_to_nbd: target sent: 6467 7e9bb40000 612848
 send_target_man-200   [003] ...1  1688.182336: send_zram_to_nbd: target sent: 6467 7e9b4ba000 612849
 send_target_man-200   [003] ...1  1688.184488: send_zram_to_nbd: target sent: 6467 7f28b9e000 61284a
 send_target_man-200   [003] ...1  1688.186886: send_zram_to_nbd: target sent: 6467 7e9bb45000 61284b
 send_target_man-200   [003] ...1  1688.189195: send_zram_to_nbd: target sent: 6467 7f28b9f000 61284c
 send_target_man-200   [003] ...1  1688.191366: send_zram_to_nbd: target sent: 6467 7e9b6e6000 61284d
 send_target_man-200   [003] ...1  1688.193679: send_zram_to_nbd: target sent: 6467 7eb8cf2000 61284e
 send_target_man-200   [003] ...1  1688.195761: send_zram_to_nbd: target sent: 6467 7ea1a74000 61284f
 send_target_man-200   [003] ...1  1688.197741: send_zram_to_nbd: target sent: 6467 7eb8cf3000 612850
 send_target_man-200   [002] ...1  1688.200096: send_zram_to_nbd: target sent: 6467 7e9bab3000 612851
 send_target_man-200   [002] ...1  1688.202059: send_zram_to_nbd: target sent: 6467 7ea1885000 612852
 send_target_man-200   [002] ...1  1688.203818: send_zram_to_nbd: target sent: 6467 7eb8cf1000 612853
 send_target_man-200   [002] ...1  1688.206048: send_zram_to_nbd: target sent: 6467 7e9bb7c000 612854
 send_target_man-200   [002] ...1  1688.208238: send_zram_to_nbd: target sent: 6467 7eb8cf0000 612855
 send_target_man-200   [002] ...1  1688.210045: send_zram_to_nbd: target sent: 6467 7ea1a80000 612856
 send_target_man-200   [002] ...1  1688.212217: send_zram_to_nbd: target sent: 6467 7e9bab8000 612857
 send_target_man-200   [002] ...1  1688.214322: send_zram_to_nbd: target sent: 6467 7e9bba7000 612858
 send_target_man-200   [002] ...1  1688.216467: send_zram_to_nbd: target sent: 6467 7e9bbef000 612859
 send_target_man-200   [000] ...1  1688.219004: send_zram_to_nbd: target sent: 6467 7e9bb7e000 61285a
 send_target_man-200   [000] ...1  1688.220918: send_zram_to_nbd: target sent: 6467 7e9bc1d000 61285b
 send_target_man-200   [000] ...1  1688.223086: send_zram_to_nbd: target sent: 6467 7e9bc09000 61285c
 send_target_man-200   [003] ...1  1688.225143: send_zram_to_nbd: target sent: 6467 7e98d3c000 61285d
 send_target_man-200   [003] ...1  1688.227163: send_zram_to_nbd: target sent: 6467 7e9bc10000 61285e
 send_target_man-200   [003] ...1  1688.230138: send_zram_to_nbd: target sent: 6467 7e99330000 61285f
 send_target_man-200   [003] ...1  1688.232142: send_zram_to_nbd: target sent: 6467 7e98e30000 612860
 send_target_man-200   [003] ...1  1688.234485: send_zram_to_nbd: target sent: 6467 7e9bbd1000 612861
 send_target_man-200   [003] ...1  1688.236500: send_zram_to_nbd: target sent: 6467 7e9bbe6000 612862
 send_target_man-200   [003] ...1  1688.238368: send_zram_to_nbd: target sent: 6467 7e9bbf0000 612863
 send_target_man-200   [003] ...1  1688.240275: send_zram_to_nbd: target sent: 6467 7e9bc30000 612864
 send_target_man-200   [001] ...1  1688.242187: send_zram_to_nbd: target sent: 6467 7e9bc04000 612865
 send_target_man-200   [001] ...1  1688.244921: send_zram_to_nbd: target sent: 6467 7e99331000 612866
 send_target_man-200   [001] ...1  1688.247592: send_zram_to_nbd: target sent: 6467 7e9bc37000 612867
 send_target_man-200   [001] ...1  1688.249675: send_zram_to_nbd: target sent: 6467 7e9bbf5000 612868
 send_target_man-200   [001] ...1  1688.251475: send_zram_to_nbd: target sent: 6467 7e9bb81000 612869
 send_target_man-200   [001] ...1  1688.253332: send_zram_to_nbd: target sent: 6467 7e9bbf6000 61286a
 send_target_man-200   [001] ...1  1688.255084: send_zram_to_nbd: target sent: 6467 7e9bb84000 61286b
 send_target_man-200   [001] ...1  1688.256743: send_zram_to_nbd: target sent: 6467 7e9bbf7000 61286c
 send_target_man-200   [002] .n.1  1688.258610: send_zram_to_nbd: target sent: 6467 7e98ace000 61286d
 send_target_man-200   [002] ...1  1688.260710: send_zram_to_nbd: target sent: 6467 7e98acf000 61286e
 send_target_man-200   [002] ...1  1688.263055: send_zram_to_nbd: target sent: 6467 7e98aae000 61286f
 send_target_man-200   [002] ...1  1688.265310: send_zram_to_nbd: target sent: 6467 7e9bb9a000 612870
 send_target_man-200   [002] ...1  1688.267542: send_zram_to_nbd: target sent: 6467 7e98ae1000 612871
 send_target_man-200   [002] ...1  1688.269500: send_zram_to_nbd: target sent: 6467 7280d000 612872
 send_target_man-200   [002] ...1  1688.271320: send_zram_to_nbd: target sent: 6467 7e9bb9c000 612873
 send_target_man-200   [002] ...1  1688.273095: send_zram_to_nbd: target sent: 6467 72804000 612874
