[21038.024009] google_charger: usbchg=USB typec=C usbv=4884 usbc=488 usbMv=5000 usbMc=500
[21038.024093] sm8150_bms: MSC_PCS chg_state=1f4108403010015 [0x15:3:1:4228:500] chg=u
[21038.024099] google_battery: MSC_DIN chg_state=1f4108403010015 f=0x15 chg_s=Charging chg_t=Fast vchg=4228 icl=500
[21038.026829] google_battery: MSC_DSG vbatt_idx:2->1 vbatt=4225000 ibatt=86562 fv_uv=4400000 cv_cnt=0 ov_cnt=0
[21038.026834] google_battery: MSC_LOGIC cv_cnt=0 ov_cnt=0 temp_idx:2->2, vbatt_idx:1->1, fv=4300000->4300000, cc_max=1975000
[21064.521959] swapout tgid 536 pid 536 name "ueventd" vma 7f81a35000
[21064.521962] swapout tgid 536 pid 536 name "ueventd" vma 7f81a3d000
[21064.521964] swapout tgid 536 pid 536 name "ueventd" vma 7f81b25000
[21064.521966] swapout tgid 536 pid 536 name "ueventd" vma 7f81a3e000
[21064.521968] swapout tgid 536 pid 536 name "ueventd" vma 7f81a3f000
[21064.521974] swapout tgid 536 pid 536 name "ueventd" vma 7f81a1f000
[21064.521976] swapout tgid 536 pid 536 name "ueventd" vma 7f81a42000
[21064.521980] swapout tgid 536 pid 536 name "ueventd" vma 7f81b24000
[21064.521982] swapout tgid 536 pid 536 name "ueventd" vma 7f81a49000
[21064.521986] swapout tgid 536 pid 536 name "ueventd" vma 7f81a43000
[21064.521988] swapout tgid 536 pid 536 name "ueventd" vma 7f81a40000
[21064.522019] swapout tgid 918 pid 918 name "storaged" vma 7fbbc07000
[21064.522026] swapout tgid 918 pid 918 name "storaged" vma 7fbbab9000
[21064.522037] swapout tgid 918 pid 918 name "storaged" vma 7fbba2a000
[21064.524809] swapout tgid 918 pid 918 name "storaged" vma 7fbba2b000
[21064.524853] swapout tgid 918 pid 918 name "storaged" vma 7fbba6e000
[21064.524858] swapout tgid 918 pid 918 name "storaged" vma 7fbbac0000
[21064.524866] swapout tgid 918 pid 918 name "storaged" vma 7fbbabf000
[21064.524871] swapout tgid 918 pid 918 name "storaged" vma 7fbba44000
[21064.524877] swapout tgid 918 pid 918 name "storaged" vma 7fbba45000
[21064.524883] swapout tgid 918 pid 918 name "storaged" vma 7fbba8f000
[21064.524908] swapout tgid 918 pid 918 name "storaged" vma 7fbbacc000
[21064.524912] swapout tgid 536 pid 536 name "ueventd" vma 7f81b23000
[21064.524915] swapout tgid 536 pid 536 name "ueventd" vma 7f81ab2000
[21064.524917] swapout tgid 536 pid 536 name "ueventd" vma 7f81a44000
[21064.524920] swapout tgid 536 pid 536 name "ueventd" vma 7f81b22000
[21064.524922] swapout tgid 536 pid 536 name "ueventd" vma 7f81ab3000
[21064.524924] swapout tgid 536 pid 536 name "ueventd" vma 7f81a41000
