[ 9796.514413] foreground_evict = 0
[ 9796.514417] background_evict = 0
[ 9796.514418] foreground_refault = 0
[ 9796.514419] background_refault = 0
[ 9796.514420] foreground_fault = 0
[ 9805.164946] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7eae4cc000
[ 9805.164994] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e803e9000
[ 9805.184844] after: swapin tgid 15666 pid 15792 name "HeroManagerBack" vma 7e70cb9000
[ 9805.184893] after: swapin tgid 15666 pid 15792 name "HeroManagerBack" vma 7e70cb8000
[ 9805.184935] after: swapin tgid 15666 pid 15792 name "HeroManagerBack" vma 7ea46ab000
[ 9805.184949] after: swapin tgid 15666 pid 15792 name "HeroManagerBack" vma 7ea46aa000
[ 9805.185015] after: swapin tgid 15666 pid 15792 name "HeroManagerBack" vma 7ea46c7000
[ 9805.185032] after: swapin tgid 15666 pid 15792 name "HeroManagerBack" vma 7ea46c8000
[ 9805.185061] after: swapin tgid 15666 pid 15792 name "HeroManagerBack" vma 7e7c95a000
[ 9805.185140] after: swapin tgid 15666 pid 15792 name "HeroManagerBack" vma 9e632000
[ 9805.186346] after: swapin tgid 15666 pid 15792 name "HeroManagerBack" vma 9e651000
[ 9805.198051] after: swapin tgid 15666 pid 15666 name "stagram.android" vma 7e772ab000
[ 9805.198748] after: swapin tgid 15666 pid 15792 name "HeroManagerBack" vma 7ec752b000
[ 9805.199248] after: swapin tgid 15666 pid 15666 name "stagram.android" vma 13070000
[ 9805.202020] after: swapin tgid 15666 pid 15666 name "stagram.android" vma 7eaebc2000
[ 9805.202070] after: swapin tgid 15666 pid 15666 name "stagram.android" vma 7eaed3a000
[ 9805.202102] after: swapin tgid 15666 pid 15666 name "stagram.android" vma 7fbe18e000
[ 9805.238610] after: swapin tgid 15666 pid 26524 name "CodecLooper" vma 7fbd0b6000
[ 9805.238634] after: swapin tgid 15666 pid 26524 name "CodecLooper" vma 7e772d4000
[ 9805.238654] after: swapin tgid 15666 pid 26524 name "CodecLooper" vma 7f2dd14000
[ 9805.242030] after: swapin tgid 15666 pid 26524 name "CodecLooper" vma 7e665e1000
[ 9805.242059] after: swapin tgid 15666 pid 26524 name "CodecLooper" vma 7e665e0000
[ 9805.260325] msm_vidc: info: Opening video instance: 0000000000000000, 1
[ 9805.265769] msm_vidc:   fw: <VFW_E:HostDr:unkn:--------:-> VenusHostDriver_SetSysProperty(1009): QC_IMAGE_VERSION_STRING=VIDEO.IR.1.2-00024-PROD-1
[ 9805.265776] msm_vidc:   fw: <VFW_E:HostDr:unkn:--------:-> 
[ 9805.265781] msm_vidc:   fw: <VFW_E:HostDr:unkn:--------:-> VenusHostDriver_SetSysProperty(1012): BUILD_TIME: Sep 12 2019 06:11:37
[ 9805.265785] msm_vidc:   fw: <VFW_E:HostDr:unkn:--------:-> 
[ 9805.265789] msm_vidc:   fw: <VFW_E:HostDr:unkn:--------:-> VenusHostDriver_SetSysProperty(1009): QC_IMAGE_VERSION_STRING=VIDEO.IR.1.2-00024-PROD-1
[ 9805.265792] msm_vidc:   fw: <VFW_E:HostDr:unkn:--------:-> 
[ 9805.265796] msm_vidc:   fw: <VFW_E:HostDr:unkn:--------:-> VenusHostDriver_SetSysProperty(1012): BUILD_TIME: Sep 12 2019 06:11:37
[ 9805.265799] msm_vidc:   fw: <VFW_E:HostDr:unkn:--------:-> 
